slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
orbs-mainnet,Orbs,,"[""[Website](https://docs.orbs.network/v3/community-projects/ton-access)""]",mainnet,Layer 3 Infrastructure,TRUE,"[""RPC"",""Randomness""]","[""Validator status""]","[""Decentralized RPC"",""V3 Randomness""]","[""randomness""]",Proof-of-Stake,TRUE,PoS Validators (Guardians),"[""TypeScript""]","[""Internal"",""External Audits""]",
orbs-testnet,Orbs,,"[""[Website](https://docs.orbs.network/v3/community-projects/ton-access)""]",testnet,Layer 3 Infrastructure,TRUE,"[""RPC"",""Randomness""]","[""Validator status""]","[""Decentralized RPC"",""V3 Randomness""]","[""randomness""]",Proof-of-Stake,TRUE,PoS Validators (Guardians),"[""TypeScript""]","[""Internal"",""External Audits""]",
pyth-mainnet,,!offer:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/ton)""]",mainnet,,,,,,,,,,,,
pyth-testnet,,!offer:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/ton)""]",testnet,,,,,,,,,,,,
redstone-mainnet,,!offer:redstone,"[""[Docs](https://docs.ton.org/ecosystem/oracles/redstone)""]",mainnet,,,,,,,,,,,,
redstone-testnet,,!offer:redstone,"[""[Docs](https://docs.ton.org/ecosystem/oracles/redstone)""]",testnet,,,,,,,,,,,,
